,Last Refresh: 2024-06-19 18:22:06,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Exclusive,Asc
Include Weekend,ALL, 
Term,43828,Current(20240619)
Symbol,I.201,
Symbol Name,코스닥,
Kind,IDX,
Item,I31000150F,
Item Name,수익률(%),
Frequency,DAILY,
1/25/21,-1.07,
1/26/21,1.12,
1/27/21,0.68,
1/28/21,-0.38,
1/29/21,-0.46,
2/1/21,-0.03,
2/2/21,0.95,
2/3/21,1.83,
2/4/21,0.18,
2/5/21,-0.95,
2/8/21,3.31,
2/9/21,-0.23,
2/10/21,2.11,
2/15/21,-0.25,
2/16/21,-0.75,
2/17/21,-0.76,
2/18/21,-1.82,
2/19/21,-0.88,
2/22/21,1.87,
2/23/21,1.74,
2/24/21,-0.63,
2/25/21,-2.13,
2/26/21,1.34,
3/2/21,0.27,
3/3/21,1.52,
3/4/21,-1.03,
3/5/21,0.05,
3/8/21,-1.89,
3/9/21,-0.18,
3/10/21,-0.78,
3/11/21,0.98,
3/12/21,-0.59,
3/15/21,-0.01,
3/16/21,1.94,
3/17/21,-0.87,
3/18/21,-0.73,
3/19/21,-0.03,
3/22/21,-1.96,
3/23/21,0.37,
3/24/21,1.32,
3/25/21,-3.32,
3/26/21,0.5,
3/29/21,1.37,
3/30/21,-1.68,
3/31/21,-1.89,
